date,channel,spend,clicks,emails_sent,impressions,revenue,conversions
2025-01-06,Email,497.7,857.5486245645232,16590.0,0.0,8793.47,69
2025-01-06,PPC,1676.01,838.0,0.0,0.0,8209.47,78
2025-01-06,Social Media,861.87,1392.0,0.0,85587.0,2461.64,28
2025-01-13,Email,571.53,957.1066400783423,19051.0,0.0,10429.47,80
2025-01-13,PPC,1832.1,917.0,0.0,0.0,9428.23,83
2025-01-13,Social Media,929.72,1500.0,0.0,86371.0,1972.76,31
2025-01-20,Email,551.9699999999999,894.2823574636502,18399.0,0.0,9254.14,69
2025-01-20,PPC,2126.08,1063.0,0.0,0.0,11465.39,103
2025-01-20,Social Media,895.6800000000001,1501.0,0.0,84325.0,2984.23,37
2025-01-27,Email,563.1,923.4795616697986,18770.0,0.0,10212.82,80
2025-01-27,PPC,2131.24,1064.0,0.0,0.0,11603.2,111
2025-01-27,Social Media,867.8,1455.0,0.0,84322.0,2984.59,36
2025-02-03,Email,428.37,725.7969963110979,14279.0,0.0,8200.29,60
2025-02-03,PPC,1943.15,973.0,0.0,0.0,8973.5,93
2025-02-03,Social Media,850.8199999999999,1240.0,0.0,80448.0,2003.51,27
2025-02-10,Email,388.2,699.5313722546782,12940.0,0.0,6599.85,53
2025-02-10,PPC,2059.05,1030.0,0.0,0.0,11577.54,111
2025-02-10,Social Media,823.6099999999999,1226.0,0.0,79889.0,2316.5,26
2025-02-17,Email,415.26,706.5351171990775,13842.0,0.0,7626.26,57
2025-02-17,PPC,2181.56,1090.0,0.0,0.0,10449.29,104
2025-02-17,Social Media,880.72,1338.0,0.0,94672.0,2410.03,29
2025-02-24,Email,471.29999999999995,748.5067420450033,15710.0,0.0,8227.45,58
2025-02-24,PPC,2013.85,1007.0,0.0,0.0,8498.89,80
2025-02-24,Social Media,804.2,1104.0,0.0,80449.0,2197.75,25
2025-03-03,Email,375.59999999999997,615.2998703818934,12520.0,0.0,6656.280000000001,47
2025-03-03,PPC,2122.86,1061.0,0.0,0.0,9900.869999999999,95
2025-03-03,Social Media,810.61,1226.0,0.0,75881.0,2714.84,30
2025-03-10,Email,367.5,601.3347144257407,12250.0,0.0,6740.86,50
2025-03-10,PPC,2292.1,1146.0,0.0,0.0,10005.27,105
2025-03-10,Social Media,764.7099999999999,1204.0,0.0,77244.0,1973.76,27
2025-03-17,Email,350.94,610.1833586428097,11698.0,0.0,7361.12,54
2025-03-17,PPC,2377.22,1190.0,0.0,0.0,11285.66,110
2025-03-17,Social Media,824.6,1459.0,0.0,75594.0,2887.14,36
2025-03-24,Email,453.87,706.3791373169074,15129.0,0.0,7683.4,58
2025-03-24,PPC,2338.39,1168.0,0.0,0.0,11423.27,117
2025-03-24,Social Media,828.1500000000001,1210.0,0.0,81504.0,1567.99,25
2025-03-31,Email,399.15,634.473219902143,13305.0,0.0,6604.2,47
2025-03-31,PPC,2447.7200000000003,1224.0,0.0,0.0,11962.23,115
2025-03-31,Social Media,824.74,1077.0,0.0,82300.0,1921.31,27
2025-04-07,Email,437.66999999999996,769.3315429283161,14589.0,0.0,7170.08,60
2025-04-07,PPC,2371.0,1185.0,0.0,0.0,13154.68,129
2025-04-07,Social Media,887.8199999999999,1183.0,0.0,87677.0,1627.35,27
2025-04-14,Email,468.45,879.6360841071463,15615.0,0.0,9652.71,75
2025-04-14,PPC,2609.46,1304.0,0.0,0.0,13561.49,133
2025-04-14,Social Media,833.8199999999999,1195.0,0.0,71803.0,1945.9900000000002,25
2025-04-21,Email,593.01,880.5296968609845,19767.0,0.0,9011.74,71
2025-04-21,PPC,2407.5299999999997,1204.0,0.0,0.0,12975.75,124
2025-04-21,Social Media,980.95,1482.0,0.0,97741.0,2164.84,31
2025-04-28,Email,584.88,928.3263161377292,19496.0,0.0,9988.63,73
2025-04-28,PPC,1969.54,985.0,0.0,0.0,8607.66,87
2025-04-28,Social Media,992.5500000000001,1419.0,0.0,102476.0,2342.3599999999997,29
2025-05-05,Email,568.92,1013.2004198081909,18964.0,0.0,9878.08,80
2025-05-05,PPC,2256.43,1127.0,0.0,0.0,11907.43,110
2025-05-05,Social Media,808.0,1040.0,0.0,79042.0,1680.27,23
2025-05-12,Email,586.4699999999999,955.7721452976674,19549.0,0.0,10735.12,77
2025-05-12,PPC,2061.41,1030.0,0.0,0.0,11190.25,96
2025-05-12,Social Media,993.51,1432.0,0.0,94568.0,2385.75,31
2025-05-19,Email,572.2199999999999,971.5171133836501,19074.0,0.0,10981.53,79
2025-05-19,PPC,2047.71,1025.0,0.0,0.0,9812.94,93
2025-05-19,Social Media,974.58,1371.0,0.0,95334.0,2845.33,29
2025-05-26,Email,541.11,938.9512661495284,18037.0,0.0,9333.04,75
2025-05-26,PPC,1962.98,982.0,0.0,0.0,7850.12,84
2025-05-26,Social Media,1147.6100000000001,1852.0,0.0,117548.0,3080.02,39
2025-06-02,Email,476.28,859.5683066469022,15876.0,0.0,8137.44,65
2025-06-02,PPC,1775.4,887.0,0.0,0.0,9637.11,88
2025-06-02,Social Media,1023.59,1525.0,0.0,97419.0,2767.92,37
2025-06-09,Email,458.46,858.537325993617,15282.0,0.0,9524.31,68
2025-06-09,PPC,1633.63,817.0,0.0,0.0,7956.68,80
2025-06-09,Social Media,988.58,1184.0,0.0,93249.0,1944.13,26
2025-06-16,Email,448.11,757.197282005029,14937.0,0.0,7393.48,59
2025-06-16,PPC,1829.51,916.0,0.0,0.0,9429.07,91
2025-06-16,Social Media,1116.58,1498.0,0.0,111250.0,3592.98,36
2025-06-23,Email,443.01,677.4096261368713,14767.0,0.0,7235.07,57
2025-06-23,PPC,1846.02,922.0,0.0,0.0,9161.7,87
2025-06-23,Social Media,1206.4,1880.0,0.0,122079.0,3212.0,42
2025-06-30,Email,372.27,662.8475756841776,12409.0,0.0,7224.01,52
2025-06-30,PPC,1520.95,760.0,0.0,0.0,8189.1900000000005,76
2025-06-30,Social Media,1228.71,1861.0,0.0,120731.0,3264.78,43
2025-07-07,Email,367.56,610.3082102332316,12252.0,0.0,6361.15,47
2025-07-07,PPC,1794.96,898.0,0.0,0.0,7677.51,81
2025-07-07,Social Media,1191.62,1602.0,0.0,114938.0,2833.61,36
2025-07-14,Email,401.60999999999996,670.1308038184245,13387.0,0.0,6814.02,53
2025-07-14,PPC,1814.56,908.0,0.0,0.0,8203.38,88
2025-07-14,Social Media,1318.7,1879.0,0.0,128076.0,3657.6800000000003,44
2025-07-21,Email,400.32,719.7919226707253,13344.0,0.0,9430.86,62
2025-07-21,PPC,1682.28,841.0,0.0,0.0,8496.83,83
2025-07-21,Social Media,1175.3,1593.0,0.0,116503.0,2340.3,36
2025-07-28,Email,373.44,654.7263848079124,12448.0,0.0,6364.93,56
2025-07-28,PPC,1868.3300000000002,934.0,0.0,0.0,8112.799999999999,88
2025-07-28,Social Media,1299.28,1896.0,0.0,137855.0,3272.0899999999997,40
2025-08-04,Email,165.87,246.3995087650535,5529.0,0.0,2999.08,20
2025-08-04,PPC,829.46,415.0,0.0,0.0,3759.14,38
2025-08-04,Social Media,491.13,795.0,0.0,45764.0,1718.47,18
