date,conversion_id,channel,revenue
2024-08-08,CONV-221,PPC,125.56
2024-08-08,CONV-222,PPC,99.03
2024-08-08,CONV-223,PPC,50.49
2024-08-08,CONV-224,Email,115.96
2024-08-08,CONV-225,Email,162.45
2024-08-08,CONV-226,Email,111.45
2024-08-08,CONV-227,Email,148.47
2024-08-08,CONV-228,Email,62.05
2024-08-08,CONV-229,Email,147.72
2024-08-08,CONV-230,Email,110.89
2024-08-08,CONV-231,Email,110.29
2024-08-08,CONV-232,Email,133.99
2024-08-08,CONV-233,Social Media,36.76
2024-08-08,CONV-234,Social Media,76.01
2024-08-08,CONV-235,Social Media,120.37
2024-08-08,CONV-236,Social Media,57.97
2024-08-08,CONV-237,Social Media,26.94
2024-08-08,CONV-238,Social Media,22.01
2024-08-08,CONV-239,Social Media,115.96
2024-08-08,CONV-240,Social Media,120.51
2024-08-09,CONV-241,PPC,136.49
2024-08-09,CONV-242,PPC,84.5
2024-08-09,CONV-243,PPC,54.98
2024-08-09,CONV-244,PPC,318.44
2024-08-09,CONV-245,PPC,84.71
2024-08-09,CONV-246,PPC,123.74
2024-08-09,CONV-247,PPC,88.96
2024-08-09,CONV-248,PPC,89.18
2024-08-09,CONV-249,PPC,105.22
2024-08-09,CONV-250,PPC,75.73
2024-08-09,CONV-251,PPC,51.87
2024-08-09,CONV-252,PPC,91.98
2024-08-09,CONV-253,PPC,134.09
2024-08-09,CONV-254,Email,145.74
2024-08-09,CONV-255,Email,132.47
2024-08-09,CONV-256,Email,185.69
2024-08-09,CONV-257,Email,104.7
2024-08-09,CONV-258,Email,198.07
2024-08-09,CONV-259,Email,107.09
2024-08-09,CONV-260,Email,59.04
2024-08-09,CONV-261,Email,192.99
2024-08-09,CONV-262,Email,179.89
2024-08-09,CONV-263,Social Media,132.11
2024-08-09,CONV-264,Social Media,82.09
2024-08-09,CONV-265,Social Media,40.33
2024-08-09,CONV-266,Social Media,83.77
2024-08-10,CONV-267,PPC,50.24
2024-08-10,CONV-268,PPC,83.82
2024-08-10,CONV-269,PPC,64.78
2024-08-10,CONV-270,PPC,120.77
2024-08-10,CONV-271,PPC,99.72
2024-08-10,CONV-272,PPC,86.01
2024-08-10,CONV-273,PPC,65.13
2024-08-10,CONV-274,PPC,88.23
2024-08-10,CONV-275,PPC,124.25
2024-08-10,CONV-276,Email,211.76
2024-08-10,CONV-277,Email,102.61
2024-08-10,CONV-278,Email,125.63
2024-08-10,CONV-279,Email,129.62
2024-08-10,CONV-280,Email,99.84
2024-08-10,CONV-281,Email,98.45
2024-08-10,CONV-282,Email,106.93
2024-08-10,CONV-283,Social Media,71.69
2024-08-10,CONV-284,Social Media,14.7
2024-08-10,CONV-285,Social Media,67.95
2024-08-10,CONV-286,Social Media,30.94
2024-08-10,CONV-287,Social Media,50.86
2024-08-10,CONV-288,Social Media,62.52
2024-08-10,CONV-289,Social Media,88.2
2024-08-10,CONV-290,Social Media,18.6
2024-08-11,CONV-291,PPC,432.08
2024-08-11,CONV-292,PPC,35.96
2024-08-11,CONV-293,PPC,108.57
2024-08-11,CONV-294,PPC,97.14
2024-08-11,CONV-295,PPC,64.08
2024-08-11,CONV-296,PPC,133.32
2024-08-11,CONV-297,PPC,115.09
2024-08-11,CONV-298,PPC,45.85
2024-08-11,CONV-299,PPC,52.72
2024-08-11,CONV-300,PPC,121.15
2024-08-11,CONV-301,Email,168.77
2024-08-11,CONV-302,Email,70.6
2024-08-11,CONV-303,Email,148.71
2024-08-11,CONV-304,Email,128.23
2024-08-11,CONV-305,Email,87.08
2024-08-11,CONV-306,Email,181.35
2024-08-11,CONV-307,Email,145.87
2024-08-11,CONV-308,Email,169.85
2024-08-11,CONV-309,Email,130.3
2024-08-11,CONV-310,Email,204.01
2024-08-11,CONV-311,Email,90.69
2024-08-11,CONV-312,Social Media,170.96
2024-08-11,CONV-313,Social Media,150.82
2024-08-11,CONV-314,Social Media,26.0
2024-08-11,CONV-315,Social Media,78.37
2024-08-11,CONV-316,Social Media,52.93
2024-08-12,CONV-317,PPC,94.71
2024-08-12,CONV-318,PPC,102.9
2024-08-12,CONV-319,PPC,146.31
2024-08-12,CONV-320,PPC,48.07
2024-08-12,CONV-321,PPC,60.95
2024-08-12,CONV-322,PPC,139.64
2024-08-12,CONV-323,PPC,119.47
2024-08-12,CONV-324,PPC,117.18
2024-08-12,CONV-325,PPC,73.06
2024-08-12,CONV-326,PPC,62.65
2024-08-12,CONV-327,PPC,75.36
2024-08-12,CONV-328,PPC,77.89
2024-08-12,CONV-329,PPC,61.08
2024-08-12,CONV-330,PPC,110.14
2024-08-12,CONV-331,PPC,111.31
2024-08-12,CONV-332,PPC,73.64
2024-08-12,CONV-333,Email,138.04
2024-08-12,CONV-334,Email,235.4
2024-08-12,CONV-335,Email,63.76
2024-08-12,CONV-336,Email,181.42
2024-08-12,CONV-337,Email,123.12
2024-08-12,CONV-338,Email,114.71
2024-08-12,CONV-339,Email,191.92
2024-08-12,CONV-340,Email,88.22
2024-08-12,CONV-341,Email,124.39
2024-08-12,CONV-342,Email,87.09
2024-08-12,CONV-343,Social Media,19.48
2024-08-12,CONV-344,Social Media,100.19
2024-08-12,CONV-345,Social Media,88.87
2024-08-12,CONV-346,Social Media,100.61
2024-08-13,CONV-347,PPC,153.38
2024-08-13,CONV-348,PPC,105.48
2024-08-13,CONV-349,PPC,38.57
2024-08-13,CONV-350,PPC,76.63
2024-08-13,CONV-351,PPC,132.08
2024-08-13,CONV-352,PPC,142.52
2024-08-13,CONV-353,PPC,145.31
2024-08-13,CONV-354,PPC,88.58
2024-08-13,CONV-355,PPC,84.55
2024-08-13,CONV-356,PPC,85.31
2024-08-13,CONV-357,PPC,40.38
2024-08-13,CONV-358,PPC,137.3
2024-08-13,CONV-359,PPC,75.96
2024-08-13,CONV-360,PPC,106.8
2024-08-13,CONV-361,PPC,144.13
2024-08-13,CONV-362,Email,50.36
2024-08-13,CONV-363,Email,96.61
2024-08-13,CONV-364,Email,113.46
2024-08-13,CONV-365,Email,75.39
2024-08-13,CONV-366,Email,273.5
2024-08-13,CONV-367,Email,57.36
2024-08-13,CONV-368,Email,59.81
2024-08-13,CONV-369,Email,135.75
2024-08-13,CONV-370,Email,128.59
2024-08-13,CONV-371,Email,67.01
2024-08-13,CONV-372,Email,157.85
2024-08-13,CONV-373,Email,124.06
2024-08-13,CONV-374,Email,161.33
2024-08-13,CONV-375,Social Media,88.12
2024-08-13,CONV-376,Social Media,94.43
2024-08-13,CONV-377,Social Media,55.84
2024-08-14,CONV-378,PPC,94.28
2024-08-14,CONV-379,PPC,88.74
2024-08-14,CONV-380,PPC,84.98
2024-08-14,CONV-381,PPC,109.16
2024-08-14,CONV-382,PPC,107.86
2024-08-14,CONV-383,PPC,85.19
2024-08-14,CONV-384,PPC,50.95
2024-08-14,CONV-385,PPC,89.89
2024-08-14,CONV-386,PPC,61.24
2024-08-14,CONV-387,PPC,159.4
2024-08-14,CONV-388,PPC,55.87
2024-08-14,CONV-389,PPC,72.61
2024-08-14,CONV-390,PPC,64.75
2024-08-14,CONV-391,PPC,60.72
2024-08-14,CONV-392,PPC,35.87
2024-08-14,CONV-393,PPC,124.76
2024-08-14,CONV-394,PPC,96.76
2024-08-14,CONV-395,PPC,59.89
2024-08-14,CONV-396,Email,133.55
2024-08-14,CONV-397,Email,200.13
2024-08-14,CONV-398,Email,199.0
2024-08-14,CONV-399,Email,183.91
2024-08-14,CONV-400,Email,143.15
2024-08-14,CONV-401,Email,184.06
2024-08-14,CONV-402,Email,141.81
2024-08-14,CONV-403,Email,157.44
2024-08-14,CONV-404,Email,194.03
2024-08-14,CONV-405,Email,142.57
2024-08-14,CONV-406,Social Media,51.51
2024-08-14,CONV-407,Social Media,137.03
2024-08-14,CONV-408,Social Media,140.13
2024-08-14,CONV-409,Social Media,62.67
2024-08-15,CONV-410,PPC,78.16
2024-08-15,CONV-411,PPC,42.06
2024-08-15,CONV-412,PPC,56.16
2024-08-15,CONV-413,PPC,47.32
2024-08-15,CONV-414,PPC,61.79
2024-08-15,CONV-415,PPC,108.24
2024-08-15,CONV-416,PPC,42.36
2024-08-15,CONV-417,PPC,150.27
2024-08-15,CONV-418,PPC,42.04
2024-08-15,CONV-419,PPC,80.84
2024-08-15,CONV-420,PPC,71.0
2024-08-15,CONV-421,PPC,42.56
2024-08-15,CONV-422,PPC,70.78
2024-08-15,CONV-423,PPC,276.76
2024-08-15,CONV-424,PPC,51.69
2024-08-15,CONV-425,Email,172.31
2024-08-15,CONV-426,Email,75.66
2024-08-15,CONV-427,Email,355.32
2024-08-15,CONV-428,Email,260.33
2024-08-15,CONV-429,Email,142.27
2024-08-15,CONV-430,Email,158.25
2024-08-15,CONV-431,Email,129.57
2024-08-15,CONV-432,Email,205.32
2024-08-15,CONV-433,Email,109.03
2024-08-15,CONV-434,Email,110.06
2024-08-15,CONV-435,Email,119.54
2024-08-15,CONV-436,Social Media,27.44
2024-08-15,CONV-437,Social Media,40.86
2024-08-15,CONV-438,Social Media,100.34
2024-08-15,CONV-439,Social Media,138.22
2024-08-15,CONV-440,Social Media,127.92
2024-08-15,CONV-441,Social Media,34.96
2024-08-15,CONV-442,Social Media,75.21
2024-08-16,CONV-443,PPC,33.45
2024-08-16,CONV-444,PPC,92.79
2024-08-16,CONV-445,PPC,93.23
2024-08-16,CONV-446,PPC,56.73
2024-08-16,CONV-447,PPC,57.15
2024-08-16,CONV-448,PPC,113.36
2024-08-16,CONV-449,PPC,85.31
2024-08-16,CONV-450,PPC,37.37
2024-08-16,CONV-451,PPC,72.36
2024-08-16,CONV-452,PPC,89.75
2024-08-16,CONV-453,PPC,59.93
2024-08-16,CONV-454,Email,181.33
2024-08-16,CONV-455,Email,176.84
2024-08-16,CONV-456,Email,134.11
2024-08-16,CONV-457,Email,84.55
2024-08-16,CONV-458,Email,104.21
2024-08-16,CONV-459,Email,121.44
2024-08-16,CONV-460,Email,92.16
2024-08-16,CONV-461,Email,169.97
2024-08-16,CONV-462,Email,312.85
2024-08-16,CONV-463,Email,153.47
2024-08-16,CONV-464,Email,252.27
2024-08-16,CONV-465,Social Media,41.36
2024-08-16,CONV-466,Social Media,161.27
2024-08-16,CONV-467,Social Media,41.03
2024-08-16,CONV-468,Social Media,131.99
2024-08-16,CONV-469,Social Media,50.3
2024-08-17,CONV-470,PPC,91.29
2024-08-17,CONV-471,PPC,126.52
2024-08-17,CONV-472,PPC,166.91
2024-08-17,CONV-473,PPC,71.58
2024-08-17,CONV-474,PPC,52.22
2024-08-17,CONV-475,PPC,36.63
2024-08-17,CONV-476,PPC,196.99
2024-08-17,CONV-477,PPC,26.42
2024-08-17,CONV-478,PPC,80.02
2024-08-17,CONV-479,PPC,147.77
2024-08-17,CONV-480,PPC,151.22
2024-08-17,CONV-481,PPC,64.15
2024-08-17,CONV-482,PPC,76.71
2024-08-17,CONV-483,PPC,85.93
2024-08-17,CONV-484,PPC,83.67
2024-08-17,CONV-485,Email,90.21
2024-08-17,CONV-486,Email,102.05
2024-08-17,CONV-487,Email,142.34
2024-08-17,CONV-488,Email,119.6
2024-08-17,CONV-489,Email,128.98
2024-08-17,CONV-490,Email,113.92
2024-08-17,CONV-491,Email,119.31
2024-08-17,CONV-492,Email,153.73
2024-08-17,CONV-493,Email,125.83
2024-08-17,CONV-494,Email,177.92
2024-08-17,CONV-495,Email,88.89
2024-08-17,CONV-496,Email,119.62
2024-08-17,CONV-497,Social Media,40.29
2024-08-17,CONV-498,Social Media,129.87
2024-08-17,CONV-499,Social Media,66.47
2024-08-17,CONV-500,Social Media,54.89
2024-08-17,CONV-501,Social Media,53.21
2024-08-17,CONV-502,Social Media,212.09
2024-08-18,CONV-503,PPC,55.54
2024-08-18,CONV-504,PPC,210.37
2024-08-18,CONV-505,PPC,111.02
2024-08-18,CONV-506,PPC,71.5
2024-08-18,CONV-507,PPC,68.95
2024-08-18,CONV-508,PPC,106.92
2024-08-18,CONV-509,PPC,44.64
2024-08-18,CONV-510,PPC,73.36
2024-08-18,CONV-511,PPC,91.5
2024-08-18,CONV-512,PPC,59.44
2024-08-18,CONV-513,PPC,128.53
2024-08-18,CONV-514,PPC,60.8
2024-08-18,CONV-515,PPC,108.64
2024-08-18,CONV-516,PPC,74.61
2024-08-18,CONV-517,PPC,176.34
2024-08-18,CONV-518,PPC,48.45
2024-08-18,CONV-519,PPC,50.6
2024-08-18,CONV-520,PPC,72.46
2024-08-18,CONV-521,PPC,145.41
2024-08-18,CONV-522,PPC,113.77
2024-08-18,CONV-523,PPC,86.52
2024-08-18,CONV-524,PPC,128.25
2024-08-18,CONV-525,PPC,92.74
2024-08-18,CONV-526,Email,150.05
2024-08-18,CONV-527,Email,91.35
2024-08-18,CONV-528,Email,59.58
2024-08-18,CONV-529,Email,101.72
2024-08-18,CONV-530,Email,157.65
2024-08-18,CONV-531,Email,136.62
2024-08-18,CONV-532,Email,94.85
2024-08-18,CONV-533,Email,286.68
2024-08-18,CONV-534,Email,84.97
2024-08-18,CONV-535,Email,109.21
2024-08-18,CONV-536,Email,111.56
2024-08-18,CONV-537,Email,89.5
2024-08-18,CONV-538,Email,133.2
2024-08-18,CONV-539,Social Media,91.53
2024-08-18,CONV-540,Social Media,33.18
2024-08-18,CONV-541,Social Media,96.15
2024-08-18,CONV-542,Social Media,20.17
2024-08-19,CONV-543,PPC,42.96
2024-08-19,CONV-544,PPC,60.58
2024-08-19,CONV-545,PPC,48.42
2024-08-19,CONV-546,PPC,74.7
2024-08-19,CONV-547,PPC,63.0
2024-08-19,CONV-548,PPC,111.68
2024-08-19,CONV-549,PPC,162.61
2024-08-19,CONV-550,PPC,62.32
2024-08-19,CONV-551,PPC,148.63
2024-08-19,CONV-552,PPC,272.66
2024-08-19,CONV-553,PPC,109.7
2024-08-19,CONV-554,PPC,233.35
2024-08-19,CONV-555,PPC,169.92
2024-08-19,CONV-556,PPC,59.86
2024-08-19,CONV-557,PPC,121.97
2024-08-19,CONV-558,PPC,188.81
2024-08-19,CONV-559,PPC,111.93
2024-08-19,CONV-560,PPC,81.74
2024-08-19,CONV-561,PPC,229.87
2024-08-19,CONV-562,PPC,96.39
2024-08-19,CONV-563,PPC,88.98
2024-08-19,CONV-564,PPC,61.4
2024-08-19,CONV-565,Email,109.84
2024-08-19,CONV-566,Email,98.78
2024-08-19,CONV-567,Email,221.11
2024-08-19,CONV-568,Email,144.39
2024-08-19,CONV-569,Email,235.23
2024-08-19,CONV-570,Email,129.49
2024-08-19,CONV-571,Email,156.22
2024-08-19,CONV-572,Email,98.84
2024-08-19,CONV-573,Email,110.56
2024-08-19,CONV-574,Email,142.82
2024-08-19,CONV-575,Social Media,103.18
2024-08-19,CONV-576,Social Media,87.7
2024-08-19,CONV-577,Social Media,67.4
2024-08-19,CONV-578,Social Media,15.46
2024-08-19,CONV-579,Social Media,38.62
2024-08-19,CONV-580,Social Media,39.1
2024-08-19,CONV-581,Social Media,160.94
2024-08-20,CONV-582,PPC,203.41
2024-08-20,CONV-583,PPC,142.77
2024-08-20,CONV-584,PPC,42.68
2024-08-20,CONV-585,PPC,347.38
2024-08-20,CONV-586,PPC,71.41
2024-08-20,CONV-587,PPC,63.13
2024-08-20,CONV-588,PPC,85.15
2024-08-20,CONV-589,PPC,78.05
2024-08-20,CONV-590,PPC,83.48
2024-08-20,CONV-591,PPC,148.63
2024-08-20,CONV-592,PPC,81.25
2024-08-20,CONV-593,PPC,135.14
2024-08-20,CONV-594,PPC,200.65
2024-08-20,CONV-595,PPC,131.85
2024-08-20,CONV-596,PPC,73.03
2024-08-20,CONV-597,PPC,135.34
2024-08-20,CONV-598,Email,113.78
2024-08-20,CONV-599,Email,168.31
2024-08-20,CONV-600,Email,140.21
2024-08-20,CONV-601,Email,108.18
2024-08-20,CONV-602,Email,338.17
2024-08-20,CONV-603,Email,198.84
2024-08-20,CONV-604,Email,81.78
2024-08-20,CONV-605,Email,147.82
2024-08-20,CONV-606,Email,169.51
2024-08-20,CONV-607,Email,200.42
2024-08-20,CONV-608,Email,108.73
2024-08-20,CONV-609,Social Media,53.51
2024-08-20,CONV-610,Social Media,37.39
2024-08-20,CONV-611,Social Media,38.66
2024-08-20,CONV-612,Social Media,74.22
2024-08-20,CONV-613,Social Media,56.54
2024-08-21,CONV-614,PPC,39.43
2024-08-21,CONV-615,PPC,107.03
2024-08-21,CONV-616,PPC,77.4
2024-08-21,CONV-617,PPC,55.52
2024-08-21,CONV-618,PPC,53.11
2024-08-21,CONV-619,PPC,100.71
2024-08-21,CONV-620,PPC,67.54
2024-08-21,CONV-621,PPC,55.48
2024-08-21,CONV-622,PPC,59.4
2024-08-21,CONV-623,PPC,127.65
2024-08-21,CONV-624,PPC,44.33
2024-08-21,CONV-625,PPC,101.25
2024-08-21,CONV-626,PPC,129.2
2024-08-21,CONV-627,PPC,95.75
2024-08-21,CONV-628,Email,141.82
2024-08-21,CONV-629,Email,155.47
2024-08-21,CONV-630,Email,86.78
2024-08-21,CONV-631,Email,250.15
2024-08-21,CONV-632,Email,216.94
2024-08-21,CONV-633,Email,199.61
2024-08-21,CONV-634,Email,89.76
2024-08-21,CONV-635,Email,188.85
2024-08-21,CONV-636,Email,120.69
2024-08-21,CONV-637,Social Media,161.12
2024-08-21,CONV-638,Social Media,90.37
2024-08-21,CONV-639,Social Media,44.64
2024-08-21,CONV-640,Social Media,50.34
2024-08-21,CONV-641,Social Media,33.5
2024-08-22,CONV-642,PPC,118.8
2024-08-22,CONV-643,PPC,65.81
2024-08-22,CONV-644,PPC,58.28
2024-08-22,CONV-645,PPC,72.52
2024-08-22,CONV-646,PPC,136.88
2024-08-22,CONV-647,PPC,45.47
2024-08-22,CONV-648,PPC,39.09
2024-08-22,CONV-649,PPC,202.89
2024-08-22,CONV-650,PPC,119.27
2024-08-22,CONV-651,PPC,74.63
2024-08-22,CONV-652,PPC,68.22
2024-08-22,CONV-653,PPC,105.77
2024-08-22,CONV-654,PPC,198.69
2024-08-22,CONV-655,PPC,97.36
2024-08-22,CONV-656,PPC,88.57
2024-08-22,CONV-657,Email,181.0
2024-08-22,CONV-658,Email,202.75
2024-08-22,CONV-659,Email,128.58
2024-08-22,CONV-660,Email,128.45
2024-08-22,CONV-661,Email,102.67
2024-08-22,CONV-662,Email,202.53
2024-08-22,CONV-663,Email,170.82
2024-08-22,CONV-664,Email,195.3
2024-08-22,CONV-665,Email,153.56
2024-08-22,CONV-666,Email,163.1
2024-08-22,CONV-667,Email,106.65
2024-08-22,CONV-668,Email,141.64
2024-08-22,CONV-669,Social Media,110.66
2024-08-22,CONV-670,Social Media,101.74
